leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,Tr8WmGDRH3UzYf7stmZcaGJow4zdDTZmV5_VTjg0ozmN38o,Ekko dà mó wáng,1471,178,120,True,False,False,True,
c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,rhRRWBi0RUj_8GY60OXYP_aGChuLotwnfRb0aKkdMWZ9lOe_,staycalm1,1432,107,59,False,False,False,False,
c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,8QgqCgXT2dEyBMliz8iuvR6Sfkl_aA1NBFHW-P9s1jZEWHM,C9 Zven,1429,142,101,True,False,False,False,
c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,HUoY49Uw1FMMHoNNZdvYvrzFdEcs1BD28glXAdd25tiqnZcw,From Iron,1417,212,159,True,False,False,True,
c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,gwymwwwdwG1GtFKdXTY8VMfMN9Vizy23F8GZQpHc_B1grsg,Smoothie,1402,156,115,True,False,False,False,
c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,eFEUPoaCykYUBo5sgQJFRgDX68HCtFpEKBpVJBPFZtV-9wM,elise player,1355,182,147,True,False,False,True,
c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,Tthee_701MqGdkNRX7tMjebWqOz5tK3QgaiQTMDjpH-fwJH7,TL Tactical,1345,129,91,True,False,False,True,
c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,9qutO3MOiFEwzvi95lHLPH8AmTL1J9v0rQTBQRmAyXjJSNY,General Sniperr,1319,176,142,True,False,False,False,
c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,q1gNHaYHs3GNheE8DUeMPPK045zJnNVDCm8fw5MDqtJSGdch,EG Bae,1304,114,70,False,False,False,False,
c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,kuYjMrILxajYPZKOOpSj2G6aaNzbaX3W4jpDw1iTEiXcQao,TwTvTonyTopLoL,1277,316,281,True,False,False,False,
c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,JdNzP_12R1FSga58nhLoc_jMgWZUig_YIzn-r7enS5pC_gM,Kandori,1274,162,124,True,False,False,False,
