id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel
Tr8WmGDRH3UzYf7stmZcaGJow4zdDTZmV5_VTjg0ozmN38o,AAfpoEERMGHXeqhZpn37DY4SC8q6PvTtEBHmbElMC3ZTZ2k,dvhmkhpyzGLJSSC-Fkm940vTMjKv5w0KQ77w8F4w-kiwYSxDHPJl7orzFDz3S2bvWO-IuuSSYylzuQ,Ekko dà mó wáng,3584,1582474146000,89
rhRRWBi0RUj_8GY60OXYP_aGChuLotwnfRb0aKkdMWZ9lOe_,b-Uq5tXug6vqa7RbjaKrL-JhjIdGKcMiZGkXpynQGVOGJs9K9EdvqWDd,rOBPek5WlwP2eLP_22DNuknuCxXgcZpb3dZX7JTQQ_HmoARMK7TPvQbf4aEvUz2u9ituJ_RMfqKWcw,staycalm1,29,1582519121000,66
8QgqCgXT2dEyBMliz8iuvR6Sfkl_aA1NBFHW-P9s1jZEWHM,HYytyrJ4VJ-ImZFASF1JrpPyzsWIvsoTXbLx_U7CU8ihRxo,tcPT9x8ErKBHyn-x0T2motgHhx5lm2M2KruNPW2ap58Teu3TKoSRjXjpRtc2TKCBpxPgiDeEpSrXBw,C9 Zven,7,1582702589000,298
HUoY49Uw1FMMHoNNZdvYvrzFdEcs1BD28glXAdd25tiqnZcw,DgN9jBn157R9O8BIpBhf3JCC55Ic1C3M5Ype2pcsCxDW2LeTb_ZCqZ81,RoQa9YF4YeqhPDQhf-jtDKFGNqYc26GPrAvFRZKJgpGW-IjCBEh3EGT6OkLliQMQB14wR3z6NP3Ycw,From Iron,3847,1582694951000,138
gwymwwwdwG1GtFKdXTY8VMfMN9Vizy23F8GZQpHc_B1grsg,JN1xjmJhjM-sCweA-2poE9_f-VSl-z_ozRS0mBJUT6sv3w,CVL6hQuUIz6AOpQEng-dPe_23UCSzdNZpTNYW9We9O6IfYj4phHGR569FrWF4mtHwZaVgrY0WaDBjw,Smoothie,18,1582695528000,227
eFEUPoaCykYUBo5sgQJFRgDX68HCtFpEKBpVJBPFZtV-9wM,TDpUl7kc-xN3-E8P0RyBvbmJgWjMTiCCAMOmEDSuVo2LhA,LegAm9QaCfu5F05ThU9fvhqAVJHKHf-s7a5UaYix3MPb42IjujUx08YDebCuIoE1Ms4vfJlXw8ikaQ,elise player,7,1582631753000,246
Tthee_701MqGdkNRX7tMjebWqOz5tK3QgaiQTMDjpH-fwJH7,UDmaW5oHzoMg8AQyjPw4nZSRp0CVcvziMb9LIoynjKOdWFLAwQqMHpYl,_RDCWjv8fHqcDmF1lqMmA133s0MNuWbELm6YUjiRRZifUK6Lzra0I5A8HP4rfRln34jVCWk-ds4KTg,TL Tactical,4248,1582694951000,164
9qutO3MOiFEwzvi95lHLPH8AmTL1J9v0rQTBQRmAyXjJSNY,4DkjFqZijn5kBr7IQWhs_4fn_PTPLHtdUz7XfvvYzyoVcU0,weB00pDEDhMIfmLvnzIIofc2IT62B89mCKsg_i7LMlACkQAeOS9DxVv0L8wuFfrooghqsKWZA7V6rA,General Sniperr,1340,1582683214000,324
q1gNHaYHs3GNheE8DUeMPPK045zJnNVDCm8fw5MDqtJSGdch,C2Nl03m9Jk1D_W75_eHzoK9i3fJkKPBcpWyr4nLrg_G1pvjlRQw_vqRs,YlAWqrNfY2rCIYib2UxTsK9WAJIbfo3GgO_2U2RpXYH59Nx-5YWcmmyTYR_pXCEcuFFVKjNvCMSAaA,EG Bae,4088,1582439093000,90
kuYjMrILxajYPZKOOpSj2G6aaNzbaX3W4jpDw1iTEiXcQao,DlBhOzMaLh1zElQJDWXOBnkx4zbObFjBnyTXG2NPrKOFc74,Zk832XLsQM_QKKVbkDifLRilqubdX_3wtTGOxyXxx2Xc_ufxlev3GBWjZW5rHiY7zJLtsmkfLjSkpg,TwTvTonyTopLoL,1301,1582702589000,290
JdNzP_12R1FSga58nhLoc_jMgWZUig_YIzn-r7enS5pC_gM,SiLdTpqJaEy4yCmsDrEd8q1HZvAya18-FY3XQDtW4zrmcw,bS-0GogPgEBOUJaMWJWy3er10srmxTDhQW497tuzRoC9jQNN9HftpJrAgNlBhRdRdlOWsyY1YdTgfA,Kandori,3353,1582697019000,248
LEEyIiuncS8hW5Nlyrs_bW17tZOsc1dEDKQsD_EZTSLeaSBS,kDpmKoonmnISo4QpJm7y07tUePZ87sfh5x-yaParUnPCRedXazJTYa-u,bbjo0H-g_wQfZgQQzZ3qrO4DxGlT1hQiFEWCVrvvO0_pEYdb5knlqfI_3ZQ2w4aQrkywJ-63IN4_yg,shernf,29,1581972446000,51
ek9xBmMn2Tp9d6-0GHagDwgTsmzFerhC9X80bJc1fj9g3UU,L71vionMg8OIas6ZAsoLCY4i5KlSBX9eNbLa8sGgc4rP9A,ZZVopiBuksCzSz2zGgeVzY0ZkdD6_0EUf_2f-zg6XXLpww-bZRoyoMn1Ygxb7z66jtNI73ZnNnGOtw,TSM Sarcasm,782,1582677105000,148
1USDIu9K0OmCJ7j-EZFLxZRdMI7EW-i1DgK4EzbAZXs99yUF,K3ZQV8rXLJIbtpmXeJEs_4fhuR2NImHDbC8UjpbTQAFZZkHsBR3_hyuz,Cm657DREAdDuNLbNc98vh1ml6RBpvqEOTxTp_qPSFVSgE83xm74zcANygqXhaYJ4FmknktXzle-3aA,always plan ahea,4404,1582684309000,151
